名前,住所,緯度,経度,評価,レビュー数
Jazz bar 琥珀,〒150-0042 東京都渋谷区宇田川町１７−１ ブラザービル 6F,35.6607705,139.6994182,4.3,167
ボディ＆ソウル,〒150-0042 東京都渋谷区宇田川町２−１ B-15,35.66379810000001,139.6989183,4.5,356
The Room,〒150-0031 東京都渋谷区桜丘町15−１９ 第八東都ビル B1F,35.6564984,139.7015973,4.4,193
THE MUSIC BAR -CAVE SHIBUYA-,〒150-0002 東京都渋谷区渋谷１丁目１５−１２ B1F LAIDOUT SHIBUYA,35.6608436,139.70298409999998,4.4,278
JZ Brat SOUND OF TOKYO,〒150-0031 東京都渋谷区桜丘町２６−１ セルリアンタワー東急ホテル2F,35.6561375,139.6992872,4.1,469
JBS Jazz Blues Soul Bar,〒150-0043 東京都渋谷区道玄坂１丁目１７−１０ 第二宝ビル ２F,35.6570266,139.69675680000003,3.8,393
渋谷swing,〒150-0047 東京都渋谷区神山町１６−４ Villa Metropolis 4F,35.6631909,139.69410779999998,3.9,87
ＫＯ−ＫＯ・ＦＲＯＭ・ＳＯＮＯＫＡ,〒150-0043 東京都渋谷区道玄坂２丁目２６−５,35.6593018,139.697113,4.5,41
ミュージック,〒150-0043 東京都渋谷区道玄坂１丁目６−７ 5F,35.6577398,139.69908110000003,4.2,156
Pres Jazz Bar,〒150-0042 東京都渋谷区宇田川町３０−４ 新岩崎ビル B1 (入口は1階,35.6607708,139.6979389,4.5,54
music bar 45,〒150-0031 東京都渋谷区桜丘町１７−１０ 吉野ビル 2階,35.6562573,139.7010819,4.9,177
SOUND BAR HOWL,〒150-0043 東京都渋谷区道玄坂１丁目１８−８ プラザ仁科屋ビルB1F,35.657396399999996,139.696427,4.7,652
渋谷 nob,〒150-0044 東京都渋谷区円山町１−３ 猪鼻ビル B1F,35.659607099999995,139.69539930000002,4.5,79
Ruby Room,〒150-0043 東京都渋谷区道玄坂２丁目２５−１７,35.6595444,139.6976,4.3,296
Rock Music Bar star star,〒150-0031 東京都渋谷区桜丘町１７−１０ 吉野ビル 3F,35.6562489,139.7010906,4.8,153
レザール,〒150-0033 東京都渋谷区猿楽町２−５ 佐藤エステートビル ３号館 ２Ｆ,35.652955399999996,139.7048524,4.3,48
渋谷Tangle,〒150-0043 東京都渋谷区道玄坂１丁目１７−２ 第二野々ビル 301号室,35.6570082,139.6972625,4.8,84
ナル,〒151-0053 東京都渋谷区代々木１丁目３６−１２ 防雷ビル 中央防雷ビルB1F,35.6839977,139.7009622,4.4,122
BLUE NOTE PLACE,〒150-0013 東京都渋谷区恵比寿４丁目２０−４,35.6427534,139.7129938,4.2,327
Bar Subterraneans,"〒150-0041 −B1F, １丁目-９-11 神南 渋谷区 東京都 150-0041",35.6649083,139.7015423,4.7,102
